caller	sample	chrom	start	end	svtype	lof	annotation	split_read_support	paired_support_PE	paired_support_PR
manta	PRJ180469_CUP_1105_Organoid	1	180905021	180915568	DEL		DEL|BIDIRECTIONAL_GENE_FUSION|KIAA1614&RP11-46A10.5|ENSG00000135835|NOT_PRIORITISED|3	120,30		104,31
manta	PRJ180469_CUP_1105_Organoid	2	27553286	27564655	DEL		DEL|BIDIRECTIONAL_GENE_FUSION|AC109828.1&GTF3C2|ENSG00000115207|NOT_PRIORITISED|3	87,31		87,27
manta	PRJ180469_CUP_1105_Organoid	3	147999877	147999942	DEL		DEL|UPSTREAM_GENE_VARIANT|RP11-501O2.4|ENST00000460324|NOT_PRIORITISED|3	30,31		9,0
manta	PRJ180469_CUP_1105_Organoid	3	185239287	185399512	INV		INV|BIDIRECTIONAL_GENE_FUSION|IGF2BP2&LIPH|ENSG00000163898|NOT_PRIORITISED|3	116,32		123,39
manta	PRJ180469_CUP_1105_Organoid	6	28883913	28885152	INV		INV|DOWNSTREAM_GENE_VARIANT|RNU6-930P|ENST00000390938|NOT_PRIORITISED|3	78,7		88,5
manta	PRJ180469_CUP_1105_Organoid	6	134477083	134501933	DEL	(SGK1|ENSG00000118515|30|0.20)	DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000474427|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000413996|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000477460|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000237305|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000367855|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000367857|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000528577|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000475719|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000531782|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000473704|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000525877|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000489458|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000524764|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000475882|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000534658|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000490149|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000532021|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000532856|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000530421|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000525700|ON_PRIORITY_LIST|2,DEL|UPSTREAM_GENE_VARIANT|SGK1|ENST00000472859|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000367858|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000474427|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000413996|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000477460|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000237305|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000367855|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000367857|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000528577|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000475719|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000531782|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000473704|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000525877|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000489458|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000524764|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000475882|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000534658|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000490149|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000524387|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000531575|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000532021|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000532856|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000461976|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000530421|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000525700|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000472859|ON_PRIORITY_LIST|2,DEL|DOWNSTREAM_GENE_VARIANT|SGK1|ENST00000484353|ON_PRIORITY_LIST|2,DEL|EXON_DEL|SGK1|ENST00000461976|Exon4-6del|2,DEL|EXON_DEL|SGK1|ENST00000524387|Exon3-7del|2,DEL|EXON_DEL|SGK1|ENST00000367858|Exon4-14del|2,DEL|EXON_DEL|SGK1|ENST00000531575|Exon3-7del|2	53,27		49,33
manta	PRJ180469_CUP_1105_Organoid	7	146036088		BND:MantaBND:50553:1:9:0:0:0:1:MantaBND:50553:1:9:0:0:0:0		BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000361727|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000455301|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000538075|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000602734|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000463592|NOT_PRIORITISED|3			80,7
manta	PRJ180469_CUP_1105_Organoid	8	50123007		BND:MantaBND:135539:0:1:0:0:0:1:MantaBND:135539:0:1:0:0:0:0		BND|GENE_FUSION&FRAMESHIFT_VARIANT|FARSA&RP11-10H3.1|ENST00000518222|NOT_PRIORITISED|3,BND|GENE_FUSION&FRAMESHIFT_VARIANT|FARSA&RP11-10H3.1|ENST00000519828|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CTC-425F1.2&RP11-10H3.1|ENST00000518222|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CTC-425F1.2&RP11-10H3.1|ENST00000519828|NOT_PRIORITISED|3	50,21		51,30
manta	PRJ180469_CUP_1105_Organoid	8	50842613	52857925	DEL	(PXDNL|ENSG00000147485|5|0.80),(AC090186.1|ENSG00000232941|1|1.00),(PCMTD1|ENSG00000168300|8|0.63),(SNTG1|ENSG00000147481|10|0.70)	DEL|GENE_FUSION|RP11-110G21.1&SNTG1|ENSG00000147481|NOT_PRIORITISED|3,DEL|EXON_DEL|SNTG1|ENST00000523085|Exon2-7del|3,DEL|EXON_DEL|SNTG1|ENST00000517473|Exon2-17del|3,DEL|EXON_DEL|RP11-110G21.1|ENST00000423716|Exon1del|3,DEL|EXON_DEL|SNTG1|ENST00000521316|Exon3-4del|3,DEL|EXON_DEL|SNTG1|ENST00000520697|Exon2del|3,DEL|EXON_DEL|SNTG1|ENST00000522124|Exon2-19del|3,DEL|EXON_DEL|RP11-110G21.1|ENST00000518942|Exon1-2del|3,DEL|EXON_DEL|SNTG1|ENST00000518864|Exon3-20del|3	31,25		34,14
manta	PRJ180469_CUP_1105_Organoid	9	9301935	9422936	DEL		DEL|DOWNSTREAM_GENE_VARIANT|AL353733.1|ENST00000408781|NOT_PRIORITISED|3,DEL|EXON_DEL|PTPRD|ENST00000381196|Exon6del|3,DEL|EXON_DEL|PTPRD|ENST00000463477|Exon9-10del|3	1,27		0,34
manta	PRJ180469_CUP_1105_Organoid	11	12932686		BND:MantaBND:50553:1:9:0:0:0:0:MantaBND:50553:1:9:0:0:0:1		BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000361985|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000361905|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000527636|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000527376|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000334310|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000527575|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000525312|NOT_PRIORITISED|3,BND|BIDIRECTIONAL_GENE_FUSION|CNTNAP2&TEAD1|ENST00000526600|NOT_PRIORITISED|3			80,7
manta	PRJ180469_CUP_1105_Organoid	12	63324311	89999671	DUP	(ATP2B1|ENSG00000070961|11|0.45)	DUP|GENE_FUSION|ATP2B1&PPM1H|ENSG00000111110|NOT_PRIORITISED|3	114,22		104,12
manta	PRJ180469_CUP_1105_Organoid	14	31638407	31638468	DEL		DEL|UPSTREAM_GENE_VARIANT|HECTD1|ENST00000553957|NOT_PRIORITISED|3,DEL|DOWNSTREAM_GENE_VARIANT|HECTD1|ENST00000554471|NOT_PRIORITISED|3	34,24		8,0
